datetime,frequency,noise_temp,source_on_noise_power,source_off_noise_power
2025-07-10T09:44:32.032584,1900.0,12.419,12.416,3.946
2025-07-10T09:44:32.032584,2000.0,12.63,12.617,3.92
2025-07-10T09:44:32.032584,2200.0,12.96,12.964,3.574
2025-07-10T09:44:32.032584,2400.0,12.514,12.521,3.859
2025-07-10T09:44:32.032584,2600.0,11.806,11.803,4.148
2025-07-10T09:44:32.032584,2800.0,11.861,11.871,3.985
2025-07-10T09:44:32.032584,3000.0,11.866,11.875,3.984
2025-07-10T09:44:32.032584,3200.0,11.714,11.718,3.919
2025-07-10T09:44:32.032584,3400.0,11.765,11.76,3.866
2025-07-10T09:44:32.032584,3600.0,11.365,11.405,3.681
2025-07-10T09:44:32.032584,3800.0,11.401,11.392,3.696
2025-07-10T09:44:32.032584,4000.0,10.885,10.881,3.856
