datetime,frequency,source_on_noise_temp,source_off_noise_temp
2025-07-10T10:47:06.491729,1900.0,408.94,410.21
2025-07-10T10:47:06.491729,2000.0,398.29,399.75
2025-07-10T10:47:06.491729,2200.0,389.62,391.43
2025-07-10T10:47:06.491729,2400.0,405.92,407.52
2025-07-10T10:47:06.491729,2600.0,402.93,402.5
2025-07-10T10:47:06.491729,2800.0,411.92,412.51
2025-07-10T10:47:06.491729,3000.0,429.56,429.75
2025-07-10T10:47:06.491729,3200.0,435.67,434.9
2025-07-10T10:47:06.491729,3400.0,444.64,441.6
2025-07-10T10:47:06.491729,3600.0,464.29,465.43
2025-07-10T10:47:06.491729,3800.0,497.58,498.16
2025-07-10T10:47:06.491729,4000.0,528.47,529.33
