datetime,frequency,noise_figure
2025-07-08T12:44:23.288862,18000,9.75
2025-07-08T12:44:23.288862,19000,9.533
2025-07-08T12:44:23.288862,20000,9.613
2025-07-08T12:44:23.288862,21000,9.849
2025-07-08T12:44:23.288862,22000,9.374
2025-07-08T12:44:23.288862,23000,9.924
2025-07-08T12:44:23.288862,24000,9.894
2025-07-08T12:44:23.288862,25000,9.907
2025-07-08T12:44:23.288862,26000,10.151
2025-07-08T12:44:23.288862,27000,10.114
2025-07-08T12:44:23.288862,28000,9.659
2025-07-08T12:44:23.288862,29000,10.049
2025-07-08T12:44:23.288862,30000,10.28
2025-07-08T12:44:23.288862,31000,9.731
