datetime,frequency,noise_figure
2025-07-08T12:52:00.157643,18000,9.715
2025-07-08T12:52:00.157643,19000,9.589
2025-07-08T12:52:00.157643,20000,9.622
2025-07-08T12:52:00.157643,21000,9.887
2025-07-08T12:52:00.157643,22000,9.423
2025-07-08T12:52:00.157643,23000,9.999
2025-07-08T12:52:00.157643,24000,9.813
2025-07-08T12:52:00.157643,25000,9.9
2025-07-08T12:52:00.157643,26000,10.07
2025-07-08T12:52:00.157643,27000,10.125
2025-07-08T12:52:00.157643,28000,9.624
2025-07-08T12:52:00.157643,29000,9.956
2025-07-08T12:52:00.157643,30000,10.134
2025-07-08T12:52:00.157643,31000,9.652
