datetime,frequency,noise_figure
2025-07-08T12:49:48.944492,18000,9.865
2025-07-08T12:49:48.944492,19000,9.623
2025-07-08T12:49:48.944492,20000,9.662
2025-07-08T12:49:48.944492,21000,9.946
2025-07-08T12:49:48.944492,22000,9.471
2025-07-08T12:49:48.944492,23000,10.036
2025-07-08T12:49:48.944492,24000,9.852
2025-07-08T12:49:48.944492,25000,9.953
2025-07-08T12:49:48.944492,26000,10.118
2025-07-08T12:49:48.944492,27000,10.19
2025-07-08T12:49:48.944492,28000,9.666
2025-07-08T12:49:48.944492,29000,10.014
2025-07-08T12:49:48.944492,30000,10.18
2025-07-08T12:49:48.944492,31000,9.72
